Name,LTP,%Chg,Chg,Volume,Buy Price,Sell Price,Buy Qty,Sell Qty,Analysis,Technical Rating
Adani Enterpris,"2,388.15",0.32,7.60,"1,421,437",0.00,"2,388.15",0,875,Analysis,
Adani Ports,"1,128.90",1.06,11.80,"3,135,942",0.00,"1,128.90",0,570,Analysis,
Apollo Hospital,"6,691.85",-0.22,-15.00,"547,360","6,691.85",0.00,67,0,Analysis,
Asian Paints,"2,229.70",-0.46,-10.25,"1,308,999","2,229.70",0.00,173,0,Analysis,
Axis Bank,"1,026.80",-2.36,-24.85,"11,418,721",0.00,"1,026.80",0,"2,184",Analysis,
Bajaj Auto,"8,578.00",-0.39,-33.20,"347,402",0.00,"8,578.00",0,"8,885",Analysis,
Bajaj Finance,"7,177.40",-2.15,-157.60,"681,750",0.00,"7,177.40",0,"1,045",Analysis,
Bajaj Finserv,"1,671.65",-2.44,-41.85,"2,098,490","1,671.65",0.00,989,0,Analysis,
Bharat Elec,267.85,-0.76,-2.05,"11,376,064",267.85,0.00,"1,642",0,Analysis,
BPCL,267.00,-1.18,-3.20,"13,448,052",267.00,0.00,"2,218",0,Analysis,
Bharti Airtel,"1,607.45",0.46,7.35,"2,960,985","1,607.45",0.00,18,0,Analysis,
Britannia,"4,877.00",0.30,14.60,"242,422","4,877.00",0.00,65,0,Analysis,
Cipla,"1,447.20",-0.04,-0.55,"1,126,634",0.00,0.00,0,0,Analysis,
Coal India,374.60,1.45,5.35,"11,117,714",0.00,374.60,0,"3,246",Analysis,
Dr Reddys Labs,"1,337.20",-0.03,-0.35,"1,940,371",0.00,"1,337.20",0,131,Analysis,
Eicher Motors,"5,081.90",1.04,52.35,"497,259","5,081.90",0.00,21,0,Analysis,
Grasim,"2,317.55",0.30,6.95,"583,299","2,317.55",0.00,3,0,Analysis,
HCL Tech,"1,825.70",0.67,12.15,"3,350,594","1,825.70",0.00,93,0,Analysis,
HDFC Bank,"1,643.05",-0.22,-3.55,"7,011,446",0.00,"1,643.05",0,773,Analysis,
HDFC Life,594.20,-1.04,-6.25,"5,633,587",0.00,594.20,0,898,Analysis,
Hero Motocorp,"4,111.90",0.23,9.25,"281,045","4,111.90",0.00,177,0,Analysis,
Hindalco,591.55,0.11,0.65,"4,390,121",591.55,0.00,62,0,Analysis,
HUL,"2,373.00",0.21,5.05,"1,215,150","2,373.00",0.00,53,0,Analysis,
ICICI Bank,"1,238.25",-0.17,-2.05,"5,355,382","1,238.25",0.00,463,0,Analysis,
IndusInd Bank,962.45,0.04,0.35,"3,633,812",0.00,962.45,0,6,Analysis,
Infosys,"1,949.65",0.49,9.60,"2,985,439","1,949.65",0.00,"1,604",0,Analysis,
ITC,437.35,0.17,0.75,"9,786,805",0.00,437.35,0,"1,274",Analysis,
JSW Steel,904.05,-0.22,-2.00,"1,581,897",904.05,0.00,10,0,Analysis,
Kotak Mahindra,"1,789.60",2.23,39.00,"3,509,861",0.00,"1,789.60",0,492,Analysis,
Larsen,"3,501.40",1.12,38.80,"1,155,446","3,501.40",0.00,360,0,Analysis,
M&M,"2,960.25",-2.93,-89.25,"2,440,803",0.00,"2,960.25",0,689,Analysis,
Maruti Suzuki,"11,947.40",1.76,206.25,"692,822",0.00,"11,947.40",0,2,Analysis,
Nestle,"2,199.65",-0.87,-19.40,"723,625","2,199.65",0.00,108,0,Analysis,
NTPC,321.35,3.53,10.95,"21,894,626",0.00,321.35,0,959,Analysis,
ONGC,258.18,-0.84,-2.19,"9,344,731",258.18,0.00,524,0,Analysis,
Power Grid Corp,298.65,2.89,8.40,"12,198,882",298.65,0.00,291,0,Analysis,
Reliance,"1,252.20",1.09,13.45,"9,578,856","1,252.20",0.00,435,0,Analysis,
SBI Life Insura,"1,472.75",-1.77,-26.50,"1,433,596","1,472.75",0.00,114,0,Analysis,
Shriram Finance,533.20,-2.00,-10.90,"4,072,535",533.20,0.00,"1,270",0,Analysis,
SBI,753.70,0.74,5.55,"7,792,299",753.70,0.00,"2,424",0,Analysis,
Sun Pharma,"1,756.85",-0.79,-14.00,"857,867","1,756.85",0.00,66,0,Analysis,
TCS,"4,249.60",0.39,16.55,"1,653,474","4,249.60",0.00,107,0,Analysis,
TATA Cons. Prod,955.55,-0.79,-7.60,"3,190,709",0.00,955.55,0,640,Analysis,
Tata Motors,763.60,-0.90,-6.90,"10,500,910",0.00,763.60,0,"2,791",Analysis,
Tata Steel,126.53,-0.32,-0.40,"18,773,125",126.53,0.00,511,0,Analysis,
Tech Mahindra,"1,675.95",1.73,28.45,"1,079,742","1,675.95",0.00,47,0,Analysis,
Titan Company,"3,323.50",0.03,1.00,"1,169,593",0.00,"3,323.50",0,27,Analysis,
Trent,"6,390.25",3.72,229.10,"1,463,322","6,390.25",0.00,108,0,Analysis,
UltraTechCement,"10,521.65",0.36,37.90,"371,459","10,521.65",0.00,2,0,Analysis,
Wipro,292.65,-0.07,-0.20,"4,662,694",292.65,0.00,499,0,Analysis,
